"","Var1","Freq"
"1","Bayview",10358
"2","Bernal Heights",2975
"3","Castro/Upper Market",5433
"4","Chinatown",3524
"5","Excelsior",2997
"6","Financial District",17080
"7","Glen Park",895
"8","Golden Gate Park",1936
"9","Haight Ashbury",3091
"10","Hayes Valley",4449
"11","Inner Richmond",2341
"12","Inner Sunset",2009
"13","Japantown",1836
"14","Lakeshore",2082
"15","Lincoln Park",177
"16","Lone Mountain/USF",2203
"17","Marina",3810
"18","McLaren Park",161
"19","Mission",21157
"20","Mission Bay",3127
"21","Nob Hill",4843
"22","Noe Valley",1602
"23","North Beach",5962
"24","Oceanview",1922
"25","Outer Mission",2488
"26","Outer Richmond",3684
"27","Pacific Heights",2770
"28","Portola",1967
"29","Potrero Hill",2891
"30","Presidio",384
"31","Presidio Heights",1002
"32","Russian Hill",4246
"33","Seacliff",200
"34","South of Market",15850
"35","Sunset/Parkside",5816
"36","Tenderloin",18642
"37","Treasure Island/YBI",604
"38","Twin Peaks",761
"39","Visitacion Valley",2157
"40","West of Twin Peaks",3498
"41","Western Addition",5637
